                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.70997,                 1.3723,                 1.1267,                0.67041,                0.68404,                0.72919,                0.62479,                0.55367,                 1.0511,                 1.0635,               0.006832,               0.006832,               0.006832
                     66,                0.69935,                  1.375,                 1.1216,                0.70402,                0.67328,                0.74017,                0.63465,                0.55551,                 1.0283,                  1.063,              0.0067825,              0.0067825,              0.0067825
                     67,                0.71236,                 1.3573,                 1.1276,                0.68828,                0.67128,                0.72996,                0.62462,                0.55666,                 1.0427,                 1.0665,               0.006733,               0.006733,               0.006733
                     68,                0.70477,                 1.3473,                 1.1214,                0.68652,                0.68712,                0.73733,                0.63247,                0.54882,                 1.0322,                 1.0628,              0.0066835,              0.0066835,              0.0066835
                     69,                0.70535,                  1.341,                 1.1223,                0.69012,                 0.6921,                0.74154,                0.63555,                0.55327,                 1.0253,                 1.0631,               0.006634,               0.006634,               0.006634
                     70,                0.69385,                 1.3371,                  1.118,                0.70228,                0.68406,                 0.7412,                0.63445,                0.55253,                 1.0214,                 1.0642,              0.0065845,              0.0065845,              0.0065845
                     71,                0.70645,                 1.3054,                 1.1229,                0.70345,                0.69081,                0.74695,                0.64183,                0.55007,                 1.0093,                 1.0619,               0.006535,               0.006535,               0.006535
                     72,                0.69599,                 1.3093,                 1.1207,                0.70884,                0.68791,                0.74422,                0.63667,                0.54974,                 1.0111,                 1.0599,              0.0064855,              0.0064855,              0.0064855
                     73,                0.70058,                 1.3062,                  1.122,                0.70367,                0.69016,                0.74424,                0.64015,                0.54465,                 1.0054,                 1.0579,               0.006436,               0.006436,               0.006436
                     74,                0.69594,                 1.2909,                 1.1137,                0.69025,                0.70392,                0.74539,                 0.6389,                0.54807,                 1.0066,                 1.0605,              0.0063865,              0.0063865,              0.0063865
                     75,                 0.6944,                 1.2822,                 1.1198,                0.72272,                0.69448,                0.75567,                0.65133,                0.54229,                0.98254,                 1.0558,               0.006337,               0.006337,               0.006337
                     76,                 0.6882,                 1.2554,                 1.1119,                0.72575,                0.69112,                0.75715,                0.65432,                0.53935,                0.98147,                 1.0534,              0.0062875,              0.0062875,              0.0062875
                     77,                0.69954,                 1.2942,                 1.1217,                0.73398,                0.68995,                0.75925,                0.65364,                0.54417,                0.97318,                 1.0571,               0.006238,               0.006238,               0.006238
                     78,                0.68073,                 1.2562,                 1.1118,                  0.721,                0.69525,                0.75736,                0.65231,                0.54269,                0.98069,                 1.0599,              0.0061885,              0.0061885,              0.0061885
                     79,                0.68704,                  1.255,                 1.1152,                0.71114,                  0.716,                0.76219,                0.65492,                 0.5406,                0.96721,                 1.0567,               0.006139,               0.006139,               0.006139
                     80,                0.68581,                 1.2313,                 1.1097,                0.73286,                0.69762,                0.76438,                0.65735,                0.54144,                0.96011,                  1.054,              0.0060895,              0.0060895,              0.0060895
                     81,                0.69084,                 1.2479,                 1.1155,                0.72412,                0.70326,                0.76358,                0.65775,                0.53836,                0.95813,                  1.054,                0.00604,                0.00604,                0.00604
                     82,                0.67714,                 1.2121,                 1.1059,                0.73113,                0.70806,                0.76688,                 0.6611,                0.53924,                0.95675,                 1.0524,              0.0059905,              0.0059905,              0.0059905
                     83,                0.67044,                 1.2204,                 1.1011,                0.72997,                0.70309,                0.76657,                0.66239,                0.53397,                0.94951,                 1.0502,               0.005941,               0.005941,               0.005941
                     84,                 0.6721,                 1.2099,                 1.1062,                0.73725,                0.69723,                0.76518,                0.66107,                0.53776,                0.95972,                 1.0542,              0.0058915,              0.0058915,              0.0058915
                     85,                0.67164,                 1.1966,                  1.104,                0.76059,                0.68187,                0.76804,                0.66432,                0.53461,                 0.9479,                 1.0508,               0.005842,               0.005842,               0.005842
